Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
RELIANCE.NSE,07/07/2025,12:13:59,1535.2,1535.8,1535,1535.5,6573,0
RELIANCE.NSE,07/07/2025,12:14:59,1535,1535.6,1535,1535.5,9849,0
RELIANCE.NSE,07/07/2025,12:15:59,1535.6,1535.6,1534.3,1535.1,14597,0
RELIANCE.NSE,07/07/2025,12:16:59,1535.1,1536,1535,1535.9,7251,0
RELIANCE.NSE,07/07/2025,12:17:59,1535.8,1536,1535.5,1535.5,6294,0
RELIANCE.NSE,07/07/2025,12:18:59,1535.7,1536,1535.4,1535.9,8972,0
RELIANCE.NSE,07/07/2025,12:19:59,1535.8,1536.7,1535.8,1536.6,10447,0
RELIANCE.NSE,07/07/2025,12:20:59,1536.7,1537,1536.7,1536.9,10008,0
RELIANCE.NSE,07/07/2025,12:21:59,1536.9,1537.5,1536.9,1537.4,30243,0
RELIANCE.NSE,07/07/2025,12:22:59,1537.5,1537.9,1537.4,1537.8,8715,0
RELIANCE.NSE,07/07/2025,12:23:59,1537.9,1538.5,1537.8,1538.4,25052,0
RELIANCE.NSE,07/07/2025,12:24:59,1538.5,1538.8,1538.4,1538.4,20948,0
RELIANCE.NSE,07/07/2025,12:25:59,1538.7,1539,1538.7,1539,12206,0
RELIANCE.NSE,07/07/2025,12:26:59,1539,1539,1538.8,1538.8,8957,0
RELIANCE.NSE,07/07/2025,12:27:59,1539,1539,1538.9,1539,10562,0
RELIANCE.NSE,07/07/2025,12:28:59,1538.9,1539,1538.8,1538.9,12568,0
RELIANCE.NSE,07/07/2025,12:29:59,1538.9,1538.9,1538.1,1538.6,10584,0
RELIANCE.NSE,07/07/2025,12:30:59,1538,1538.9,1538,1538.9,13108,0
RELIANCE.NSE,07/07/2025,12:31:59,1538.9,1539,1538.9,1539,6589,0
RELIANCE.NSE,07/07/2025,12:32:59,1539,1539.3,1539,1539.3,24420,0
RELIANCE.NSE,07/07/2025,12:33:59,1539.4,1539.4,1538.9,1539.2,12433,0
RELIANCE.NSE,07/07/2025,12:34:59,1539.2,1539.2,1538.9,1538.9,9410,0
RELIANCE.NSE,07/07/2025,12:35:59,1538.9,1539,1538.2,1538.9,13233,0
RELIANCE.NSE,07/07/2025,12:36:59,1538.9,1539,1538.6,1539,10479,0
RELIANCE.NSE,07/07/2025,12:37:59,1539,1539,1538.9,1539,31428,0
RELIANCE.NSE,07/07/2025,12:38:59,1539,1539,1538.9,1539,9332,0
RELIANCE.NSE,07/07/2025,12:39:59,1539,1539,1539,1539,14266,0
RELIANCE.NSE,07/07/2025,12:40:59,1538.9,1539.3,1538.9,1539.2,11804,0
RELIANCE.NSE,07/07/2025,12:41:59,1539.3,1539.4,1538.9,1539.4,14699,0
RELIANCE.NSE,07/07/2025,12:42:59,1539.4,1539.4,1539.2,1539.4,10853,0
RELIANCE.NSE,07/07/2025,12:43:59,1539.4,1539.4,1538.4,1539.1,39991,0
RELIANCE.NSE,07/07/2025,12:44:59,1538.4,1539.4,1538.4,1539.4,14559,0
RELIANCE.NSE,07/07/2025,12:45:59,1539.3,1539.4,1539,1539.3,10796,0
RELIANCE.NSE,07/07/2025,12:46:59,1539.4,1539.4,1538.5,1539.3,11490,0
RELIANCE.NSE,07/07/2025,12:47:59,1539.3,1539.4,1539.2,1539.4,11149,0
RELIANCE.NSE,07/07/2025,12:48:59,1539.4,1539.5,1539.3,1539.5,16345,0
RELIANCE.NSE,07/07/2025,12:49:59,1539.5,1540.8,1539.4,1540.7,123438,0
RELIANCE.NSE,07/07/2025,12:50:59,1540.6,1540.8,1540.2,1540.8,21634,0
RELIANCE.NSE,07/07/2025,12:51:59,1540.7,1541.7,1540.7,1541.4,25287,0
RELIANCE.NSE,07/07/2025,12:52:59,1541,1541.6,1540.9,1541.3,15465,0
RELIANCE.NSE,07/07/2025,12:53:59,1541.6,1542,1541.3,1542,25375,0
RELIANCE.NSE,07/07/2025,12:54:59,1542,1542,1541,1541.2,27860,0
RELIANCE.NSE,07/07/2025,12:55:59,1541,1541.2,1540.4,1540.8,12835,0
RELIANCE.NSE,07/07/2025,12:56:59,1540.9,1540.9,1540.2,1540.7,17894,0
RELIANCE.NSE,07/07/2025,12:57:59,1540.6,1540.6,1540.2,1540.4,11936,0
RELIANCE.NSE,07/07/2025,12:58:59,1540.5,1540.5,1540,1540.5,10992,0
RELIANCE.NSE,07/07/2025,12:59:59,1540.5,1540.5,1540,1540,15092,0
RELIANCE.NSE,07/07/2025,13:00:59,1540.1,1540.1,1539.6,1539.7,17669,0
RELIANCE.NSE,07/07/2025,13:01:59,1539.5,1541.4,1539.5,1541.1,53439,0
RELIANCE.NSE,07/07/2025,13:02:59,1541.3,1541.9,1541,1541.8,24923,0
